site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Walcha Energy Project - St Leonards Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
Walcha Energy Project - Tia Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
Walcha Energy Project - Woolbrook Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
Wellington North Solar Farm (AGL) _x000D_,CWO,high,agree,CWO,medium,CWO,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wellington,,,,,,,,
Wemen TS Syncon,MR,high,no_coord_m1_backstop,MR,high,,,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Wemen,,,,,,,,
West Mokoan Solar Farm,CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),West Mokoan,400.4,Solar PV - Single axis tracking,Solar - Solar,West Mokoan Solar Farm,,,,
Eden Offshore Wind Farm,ILW,medium,no_coord_m1_backstop,ILW,medium,,,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Eden,2000.0,Wind Turbine - Offshore,Wind - Wind,OceanEx Energy,,,,
Greater Gippsland Offshore Wind,GIP,high,no_coord_m1_backstop,GIP,high,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Gippsland,,,,,,,,
Hunter Coast Offshore Wind,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Hunter Coast,,,,,,,,
Illawarra Offshore Wind Farm,ILW,high,no_coord_m1_backstop,ILW,high,,,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Illawarra,2000.0,Wind Turbine - Offshore,Wind - Wind,OceanEx Energy,,,,
LYA BESS,GIP,high,boundary_swap_m1_review,CN-VIC,review,GIP,high,CN-VIC,"Central North Victoria REZ corridor (Bendigo/Shepparton) — shared keyword across REZs: ['CN-VIC', 'GIP']; primary assignment based on substation locality",LYA,200.0,Storage - Battery,Other - Other,LOYYANGA,,,,
