site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Rangemore BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,20.0,Storage - Battery,Other - Other,Tetris Energy,tier_3,0.0,,
Rangemore Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,20.0,Solar PV - Fixed,Solar - Solar,Tetris Energy,tier_3,0.0,,
Rangemore Wind Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,185.0,Wind Turbine - Onshore,Wind - Wind,Tetris Energy,tier_3,0.0,,
Reedy Creek,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Reedy Creek,0.85,Reciprocating Engine - Spark ignition,Landfill Gas,LMS_NR,tier_3,1.0,owner_junk:_NR$,
Renewable Power Australia Limited,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Renewable Power Australia,30.0,Turbine - Steam Sub Critical,Green and air dried wood,Renewable Power Australia Limited as Trustee for FPC Green Fund Trust,tier_3,0.0,,
Riverstone Rise BESS (KCI),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,520.8,Storage - Battery,Other - Other,Pacific Partnerships Pty Ltd,tier_2,0.0,,
Rochedale B,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Rochedale,2.25,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,LMS_NR,tier_3,1.0,owner_junk:_NR$,
Rochedale Renewable Energy Facility,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Rochedale,4.492,Other - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0.0,,
Rocky Point Sugar Mill Cogeneration Plant,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,30.0,Other - Other,Renewable Biomass or Waste - Bagasse,W.H.Heck and Sons Pty Ltd,tier_3,0.0,,
Rodds Bay Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Rodds Bay,497.75,Solar PV - Single axis tracking,Solar,RBSF NewCo Pty Ltd,tier_3,0.0,,
Roghan Road,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Roghan Road,1.15,Reciprocating Engine - Spark ignition,Landfill Gas,EDL LFG Qld Pty Ltd,tier_3,0.0,,
Rolleston Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Rolleston,90.0,Solar PV - Fixed,Solar,RES Australia Pty Ltd,tier_1,1.0,stale_proposed_4plus_releases,
Rollingstone Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Rollingstone,117.4,Solar PV - Fixed,Solar,ESCO Pacific,tier_2,2.0,stale_proposed_4plus_releases,
Roma,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Roma,40.0,Turbine - OCGT,Natural Gas Pipeline,Origin Energy Power Limited,tier_1,0.0,,
Ross River Solar Farm,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Ross River,128.0,Solar PV - Single axis tracking,Solar,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,tier_3,0.0,,
Rugby Run Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Rugby Run,65.0,Solar PV - Single axis tracking,Solar,Adani Rugby Run Pty Ltd,tier_3,0.0,,
Rutherglen Battery - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Storage - Battery,Other - Other,Red Hill Renewable Energy Pty Ltd,tier_3,0.0,,
Rutherglen Solar Farm - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Solar PV - Fixed,Solar - Solar,Red Hill Renewable Energy Pty Ltd,tier_3,0.0,,
SIPS Staypylton Industrial Power Station,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Staypylton,0.15,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
SRI/Mirabou (Braemar) BESS,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Braemar,100.0,Storage - Battery,Other,Miraabou Energy Ltd,tier_3,0.0,,
SRI/Mirabou (Braemar) BESS - KCI,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Braemar,500.0,Storage - Battery,Other - Other, Miraabou Energy Ltd,tier_3,1.0,large_tier3,
Smoky Creek Energy Storage System - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,400.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0.0,,
Smoky Creek Hybrid Facility - Solar And BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,720.0,Solar PV - Single axis tracking,Solar - Solar,Edify Energy Pty Ltd,tier_2,0.0,,
Smoky Creek Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,700.0,Solar PV - Single axis tracking,Solar,Edify Energy Pty Ltd,tier_2,2.0,stale_proposed_4plus_releases,
Somerset Dam,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,3.2,Solar PV - Fixed,Solar,Seqwater,tier_3,0.0,,
South Burnett BESS,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),South Burnett,300.0,Storage - Battery,Other - Other,X-Elio Australia Pty Ltd,tier_1,0.0,,
South Johnstone Mill,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),South Johnstone,28.5,Turbine - Steam Sub Critical,Bagasse,MSF Sugar,tier_3,0.0,,
South Johnstone Mill (expansion),FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),South Johnstone,32.0,Turbine - Steam Sub Critical,Bagasse,MSF Sugar,tier_3,2.0,stale_proposed_4plus_releases,
South Nanango BESS,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),South Nanango,630.0,Storage - Battery,Other - Other,RTB Renewables Pty Ltd,tier_2,0.0,,
South Pine BESS - KCI,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),South Pine,300.0,Storage - Battery,Other - Other, Neon Australia Pty Ltd,tier_3,0.0,,
South Pine Battery Energy Storage System,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),South Pine,400.0,Storage - Battery,Other,Neoen Australia Pty Ltd,tier_1,0.0,,
Southbank Institute of Technology Unit 1 Plant,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Southbank,1.0,Reciprocating Engine - Compression ignition,Diesel,Southbank Institute of Technology,tier_3,0.0,,
Southern Renewable Energy Zone BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,150.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0.0,,
Specimen Hill BESS - Storage - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Specimen Hill,100.0,Storage - Battery,Other - Other,ARK Energy Corporation Pty Ltd,tier_2,0.0,,
Specimen Hill Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Specimen Hill,336.0,Wind Turbine - Onshore,Wind,ARK Energy Corporation Pty Ltd,tier_2,2.0,stale_proposed_4plus_releases,
Springdale Wind Farm,SD,medium,no_coord_m1_backstop,SD,medium,,,SD,SD region (Millmerran/Inglewood corridor),Springdale Wind,480.0,,Wind,Ratch Australia,tier_2,0.0,,
Springlands Wind Farm,SD,medium,no_coord_m1_backstop,SD,medium,,,SD,SD region (Millmerran/Inglewood corridor),Springlands Wind,798.6,Wind Turbine - Onshore,Wind - Wind, Ratch Australia,tier_2,0.0,,
St Ursula's College Yeppoon,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),St Ursula,0.174,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Stanmore WCMG power station,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stanmore,20.16,Reciprocating Engine - Spark ignition,Fossil - Coal Seam Methane,Stanmore Resources and Enernet Australia (JV),tier_3,0.0,,
Stanwell,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stanwell,365.0,Turbine - Steam Sub Critical,Black Coal,Stanwell Corporation Limited,tier_1,0.0,,
Stanwell BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stanwell,300.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0.0,,
Stanwell Energy Park - BESS connected to Stanwell Substation,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stanwell,350.0,,Storage,Stanwell Corporation Ltd,tier_1,0.0,,
Stanwell Energy Park - BESS connected to Tarong Substation,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,350.0,,Storage,Stanwell Corporation Ltd,tier_1,0.0,,
Stanwell Power Station BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stanwell,150.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0.0,,
Stapylton Renewable Energy Facility,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Stapylton,4.24,Reciprocating Engine - Spark ignition,Landfill Gas,LMS Energy Pty Ltd,tier_3,0.0,,
Stony Creek Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Stony Creek Wind,400.0,Wind Turbine - Onshore,Wind - Wind,Greenleaf Renewable,tier_3,0.0,,
Sun Metals Corporation Solar Farm,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Sun Metals,143.0,Solar PV - Fixed,Solar,Sun Metals Corporation Pty Ltd,tier_3,0.0,,
Sunshine Coast Solar Farm,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Sunshine Coast,15.0,Solar PV - Fixed,Solar,Sunshine Coast Regional Council,tier_3,0.0,,
Sunshine Energy Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,1500.0,Solar PV - Single axis tracking,Solar,Sunshine Energy,tier_3,2.0,manual_known_phantom,
Sunshine State Solar Farm and BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Sunshine State,110.0,Solar PV - Fixed,Solar - Solar,ESCO Pacific,tier_2,0.0,,
Sunshine State Solar Farm and BESS (Rollingstone),CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Rollingstone,500.0,Solar PV - Fixed,Solar,Rollingstone Solar Farm Pty Ltd,tier_3,1.0,large_tier3,
Suntown Renewable Energy Facility,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Suntown,1.025,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0.0,,
Supernode BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,260.0,Storage - Battery,Other - Other,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,tier_3,0.0,,
Supernode Project,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,250.0,Storage - Battery,Solar - Solar,Quinbrook Asset Management as Trustee for The Australian Clean Power Trust 2A,tier_1,1.0,stale_proposed_4plus_releases,
Susan River Solar Farm,WG,medium,no_coord_m1_backstop,WG,medium,,,WG,Wide Bay region (judgement call),Susan River,85.26,Solar PV - Single axis tracking,Solar,Susan River Solar Pty Ltd as trustee for the Susan River Solar Trust,tier_3,0.0,,
Swanbank BESS,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,250.0,Storage - Battery,Other - Other,CleanCo QLD Limited,tier_1,0.0,,
Swanbank E GT,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,385.0,Turbine - CCGT,Coal Seam Methane,CleanCo Queensland Limited,tier_1,0.0,,
Swanbank JV,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,1.123,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS ENERGY Pty Ltd,tier_3,0.0,,
Tableland Mill,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Tableland Mill,24.0,Turbine - Steam Sub Critical,Other,MSF Sugar,tier_3,0.0,,
Tangkam BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,100.0,Storage - Battery,Other,Atria Energy Ltd,tier_3,0.0,,
Tangkam BESS - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,100.0,Storage - Battery,Other - Other, Atria Energy Ltd,tier_3,0.0,,
Tara Wind Farm - KCI,WD,medium,no_coord_m1_backstop,WD,medium,,,WD,Western Downs region (judgement call),Tara Wind,1800.0,Wind Turbine - Onshore,Wind - Wind,Tara Wind Farm Pty Ltd,tier_3,2.0,mega_non_tier1,
Tarong,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,350.0,Turbine - Steam Sub Critical,Black Coal,Stanwell Corporation Limited,tier_1,0.0,,
Tarong BESS - Stanwell,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,300.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0.0,,
Tarong GT,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,15.0,Turbine - OCGT,Fuel Oil,Stanwell Corporation Limited,tier_1,0.0,,
Tarong North,TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,450.0,Turbine - Steam Super Critical,Black Coal,Stanwell Corporation Limited,tier_1,0.0,,
Tarong West Wind Farm (Ironleaf),TG,high,no_coord_m1_backstop,TG,high,,,TG,Tarong corridor (Tarong PS/Kingaroy),Tarong,900.0,Wind Turbine - Onshore,Wind - Wind,Tarong West Project Co Pty Ltd as trustee for the Tarong West Project Trust ,tier_3,1.0,large_tier3,
Teebar Creek Battery Storage - KCI,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Teebar,400.0,Storage - Battery,Other - Other,ATMOS DEVELOPMENTS PTY LTD,tier_3,0.0,,
Teebar Solar One,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Teebar,52.5,Solar PV - Fixed,Solar,Teebar Clean Energy Pty Ltd,tier_3,0.0,,
The Block BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,324.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,0.0,,
The Central BESS - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,648.0,Storage - Battery,Other - Other,ACEnergy Pty Ltd,tier_2,0.0,,
Theodore BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Theodore,240.0,Storage - Battery,Other - Other,RWE,tier_1,0.0,,
Theodore Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Theodore,84.0,Solar PV - Single axis tracking,Solar,Theodore SF Pty Ltd as trustee for Theodore SF Trust  ,tier_3,2.0,stale_proposed_4plus_releases,
Theodore Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Theodore,1152.0,Wind Turbine - Onshore,Wind - Wind,RWE Renewables Australia,tier_1,0.0,,
Three Rivers BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Three Rivers,500.0,Storage - Battery,Other - Other,Iberdrola Australia Development Pty Ltd.,tier_1,0.0,,
Three Rivers Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Three Rivers,700.0,Solar PV - Fixed,Solar - Solar,Iberdrola Australia Development Pty Ltd.,tier_1,0.0,,
Ti Tree Bioenergy,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Ti Tree,4.4,Reciprocating Engine - Spark ignition,Biomass,Ti Tree Bioenergy,tier_3,0.0,,
Ticoba BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,550.0,Storage - Battery,Other - Other,European Energy Australia P/L,tier_1,0.0,,
Ticoba Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,550.0,Solar PV - Fixed,Solar - Solar,European Energy Australia P/L,tier_1,0.0,,
Tieri BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Tieri,103.2,Storage - Battery,Other - Other,FRV Service Australia Pty Ltd,tier_3,0.0,,
Tieri Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Tieri,95.0,Solar PV - Fixed,Solar,FRV Service Australia Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Todae Solar - DHP 1MW,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.9541,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Todae Solar SV - Holy Spirit Northside,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.3932,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Todae Solar SV - Mitchelton,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.18,Solar PV - Fixed,Solar - Solar,TBA,tier_3,0.0,,
Todae Solar SV - Private Brisbane,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Brisbane,0.1705,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Todae Solar SV - Toowoomba,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,0.2601,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Todae Solar SV Lourdes,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.264,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Tong Park - Agricultural Waste,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Tong Park,1.23,Other - Other,Renewable Biomass or Waste - Bagasse,TBA,tier_3,0.0,,
Toowoomba Pumped Storage Project,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,400.0,Storage - Battery,Other - Other,BE Power,tier_2,0.0,,
Townsville BESS,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Townsville,200.0,Storage - Battery,Other - Other,ACEnergy Pty Ltd,tier_2,0.0,,
Townsville Power Station,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Townsville,160.0,Turbine - CCGT,Natural Gas Pipeline,RATCH-Australia,tier_2,0.0,,
Townsville Power Station.,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Townsville,160.0,Turbine - CCGT,Fossil - Natural Gas Pipeline,RATCH-Australia,tier_2,0.0,,
Tuckeroo BESS - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,500.0,Storage - Battery,Other - Other,Tuckeroo BESS Pty Ltd,tier_3,1.0,large_tier3,
Tully BESS,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Tully,200.0,Storage - Battery,Other - Other,RWE Renewables Australia Pty Ltd,tier_1,0.0,,
Tully Sugar Mill,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Tully,32.0,Turbine - Steam Super Critical,Renewable Biomass or Waste - Bagasse,Tully Sugar Limited,tier_1,0.0,,
Tummaville Hybrid Facility - BESS (KCI),SD,medium,no_coord_m1_backstop,SD,medium,,,SD,SD region (Millmerran/Inglewood corridor),Tummaville,500.0,Storage - Battery,Other - Other,Elements Green Australia Pty Ltd,tier_2,0.0,,
Tummaville Hybrid Facility - Solar (KCI),SD,medium,no_coord_m1_backstop,SD,medium,,,SD,SD region (Millmerran/Inglewood corridor),Tummaville,500.0,Solar PV - Fixed,Solar - Solar,Elements Green Australia Pty Ltd,tier_2,0.0,,
Tumuruu BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,295.0,Storage - Battery,Other - Other,Austraiian Solar,tier_3,0.0,,
Tumuruu Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,464.0,Solar PV - Fixed,Solar - Solar,Austraiian Solar,tier_3,0.0,,
Tyrone BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Storage - Battery,Other - Other,European Energy Australia P/L,tier_1,0.0,,
Tyrone Solar,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Solar PV - Fixed,Solar - Solar,European Energy Australia P/L,tier_1,0.0,,
Ulinda Park BESS,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Ulinda Park,156.0,Storage - Battery,Other,Ulinda Park ProjectCo Pty Ltd,tier_3,0.0,,
University of Southern Queensland Toowoomba,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,1.09,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Upper Burdekin Wind Farm,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Upper Burdekin,500.0,,Wind,Windlab Developments,tier_2,0.0,,
Upper Burdekin Wind Farm - KCI,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Upper Burdekin,355.0,Wind Turbine - Onshore,Wind - Wind,UPPER BURDEKIN WIND FARM PTY LTD,tier_3,0.0,,
Upper Calliope Solar Farm (side A),CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Calliope,291.0,Solar PV - Fixed,Solar - Solar,European Energy S/A,tier_1,0.0,,
Valdora Solar Farm,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Valdora,15.0,Solar PV - Fixed,Solar - Solar,Diamond Energy Pty Ltd,tier_3,0.0,,
Victoria Mill,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Victoria Mill,19.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar (Herbet) Pty Ltd,tier_3,0.0,,
Vulcan Yatala,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Vulcan Yatala,0.2,Solar PV - Fixed,Solar - Solar,TBA,tier_3,0.0,,
Wambo Wind Farm,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Wambo Wind,500.0,,Wind, Cubico Sustainable Investments Australia Pty Ltd,tier_1,0.0,,
Wamuran BESS - KCI,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wamuran,630.0,Storage - Battery,Other - Other,RTB Renewables Pty Ltd,tier_2,0.0,,
Wandoan South BESS,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Wandoan,100.0,Storage - Battery,Other,Vena Evergy,tier_3,0.0,,
Wandoan South Solar,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Wandoan,650.0,Solar PV - Single axis tracking,Solar,Vena Evergy,tier_3,1.0,large_tier3,
Wandoan South Solar Stage 1,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Wandoan,160.0,Solar PV - Single axis tracking,Solar,Vena Evergy,tier_3,0.0,,
Wandoan South Solar Stage 2,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Wandoan,240.0,Solar PV - Single axis tracking,Solar - Solar,TBSOL,tier_3,0.0,,
Wantirna Mini Hydro,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,0.132,Hydro - Dam,Water,TBA,tier_3,0.0,,
Warwick Solar Farm,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Warwick Solar,64.208,Solar PV - Single axis tracking,Solar,The University of Queensland,tier_3,0.0,,
Western Downs Battery,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Western Downs,259.2,Storage - Battery,Other - Other,Western Downs BESS Trust,tier_3,0.0,,
