site_name,region,project_lat,project_lon,project_coord_source,spike_class,expected_catchment,method,transmission_catchment,catchment_confidence,nearest_substation,nearest_substation_rez,distance_km,exclusion_pattern_matched,region_mismatch,notes
Koorangie Energy Storage System,VIC1,-35.85,143.91,manual,prior,MR,spatial_join,MR,high,Kerang,MR,8.97,,False,
Koyuga Nanneella Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kut Wut Brataualung,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kyabram Wind Farm,VIC1,-36.2222,144.8864,proponent_site,,,spatial_join,MR,high,Echuca,MR,14.2,,False,
LYA BESS,VIC1,-38.26,146.59,manual,prior,GIP,spatial_join,GIP,high,Loy Yang,GIP,1.62,,False,
LaTrobe Valley BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Lambing Gully BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Lambing Gully Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Lancaster Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Latrobe Solar Farm,VIC1,-38.2348,146.395,locality_proxy,,,spatial_join,GIP,medium,Morwell,GIP,3.41,,False,
Laverton North,VIC1,-37.8417434,144.7889043,OSM_plant,,,spatial_join,SW-VIC,high,Newport,SW-VIC,9.21,,False,
Learmonth BESS,VIC1,-37.4234,143.7186,proponent_site,,,spatial_join,WV,high,Waubra,WV,12.46,,False,
Leonards Hill,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Little River BESS,VIC1,-38.0,144.5,locality_proxy,,,spatial_join,SW-VIC,medium,Geelong,SW-VIC,16.88,,False,
Little River Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Little River Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Longford,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Lovely Banks Renewable Energy Hub,VIC1,-38.0388,144.2959,osm_substation,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.2,,False,
Lovely Banks Renewable Energy Hub - KCI,VIC1,-38.0388,144.2959,osm_substation,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.2,,False,
Loy Yang A Power Station,VIC1,-38.2537507,146.5742585,OSM_plant,,,spatial_join,GIP,high,Loy Yang B,GIP,0.31,,False,
Loy Yang B,VIC1,-38.256264,146.5846793,OSM_plant,,,spatial_join,GIP,high,Loy Yang B,GIP,1.18,,False,
Loy Yang B Power Station - BESS Stage 1 - KCI,VIC1,-38.256264,146.5846793,OSM_plant,,,spatial_join,GIP,high,Loy Yang B,GIP,1.18,,False,
Loy Yang B Upgrade,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Loy Yang BESS,VIC1,-38.2537,146.5757,wikipedia,,,spatial_join,GIP,high,Loy Yang B,GIP,0.42,,False,
Lubeck Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Lubeck Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Macarthur Wind Farm,VIC1,-38.0324033,142.1782496,OSM_plant,,,spatial_join,SW-VIC,high,Macarthur,SW-VIC,3.61,,False,
Mallee Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mallee Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Malunga BESS - KCI,VIC1,-38.0303,143.6335,proponent_site,,,spatial_join,SW-VIC,medium,Berrybank,SW-VIC,22.55,,False,
Malunga Nine Mile BESS - KCI,VIC1,-38.0303,143.6335,proponent_site,,,spatial_join,SW-VIC,medium,Berrybank,SW-VIC,22.55,,False,
Mansfield Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mansfield Solar Farm - Solar - KCI,VIC1,-37.054,146.084,locality_proxy,,,spatial_join,CN-VIC,medium,Mansfield,CN-VIC,1.19,,False,
Mansfield Solar Farm - Storage - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Maroona Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Maryvale Energy From Waste,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Meadow Creek Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Meadow Creek Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Meering BESS,VIC1,-35.8995,143.7185,locality_proxy,,,spatial_join,MR,medium,Kerang,MR,24.06,,False,
Meering Wind Farm,VIC1,-35.93,143.7,proponent_site,,,spatial_join,MR,medium,Kerang,MR,27.47,,False,
Melbourne Grid Battery - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Melbourne Regional Landfill,VIC1,,,,,,spatial_join_excluded,Unclassified,excluded,,,,Landfill,False,
Melbourne Renewable Energy Complex,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Melbourne Renewable Energy Complex - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Melbourne Renewable Energy Hub,VIC1,-37.6535,144.6781,proponent_site,,,spatial_join,WV,high,Sydenham,WV,6.63,,False,
Melbourne Renewable Energy Hub - Side A,VIC1,-37.6535,144.6781,proponent_site,,,spatial_join,WV,high,Sydenham,WV,6.63,,False,
Melbourne Renewable Energy Hub - Side B,VIC1,-37.6535,144.6781,proponent_site,,,spatial_join,WV,high,Sydenham,WV,6.63,,False,
Melbourne Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Melbourne Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Melton Renewable Energy Hub,VIC1,-37.6535,144.6781,proponent_site,,,spatial_join,WV,high,Sydenham,WV,6.63,,False,
Merbein Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Meredith Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Meredith Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Midland Highway Orrvale,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mildura Power Station,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Moira Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mokoan Solar Farm,VIC1,-36.48881,146.1241642,OSM_plant,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,0.9,,False,
Mokoan Solar Farm (LightsourceBP),VIC1,-36.48881,146.1241642,OSM_plant,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,0.9,,False,
Mologa BESS,VIC1,-36.1525,144.1314,proponent_site,,,spatial_join,MR,medium,Cohuna,MR,31.3,,False,
Monash BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Moonah Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Moonah Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Moorabool BESS,VIC1,-38.04,144.29,proponent_site,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.65,,False,
Moorabool Wind Farm,VIC1,-37.6980469,144.165613,OSM_plant,,,spatial_join,SW-VIC,high,Yaloak South,SW-VIC,7.4,,False,
Moreton Hill Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mornington BESS,VIC1,-38.268,145.201,proponent_site,,,spatial_join,SW-VIC,high,Mornington,SW-VIC,10.62,,False,
Mornington Waste Disposal Facility,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mortlake,VIC1,-38.1485895,142.8405896,OSM_plant,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,9.23,,False,
Mortlake BESS,VIC1,-38.0631,142.6678,wikipedia,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,11.36,,False,
Mortlake Battery,VIC1,-38.06327,142.66884,wikipedia,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,11.27,,False,
Mortlake Energy Hub,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mortlake South Wind Farm,VIC1,-38.1485895,142.8405896,OSM_plant,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,9.23,,False,
Mortons Lane Wind Farm,VIC1,-37.8396321,142.4627158,OSM_plant,,,spatial_join,SW-VIC,high,Mortons Lane,SW-VIC,0.57,,False,
Morwell BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Morwell Battery Energy Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Morwell Battery Energy System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Morwell Solar,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mount Fyans,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mount Fyans Wind Farm 2.0,VIC1,-38.0295,142.883,wikipedia,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,8.95,,False,
Mount Waverley Mini Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mt Doran BESS,VIC1,-37.7833,144.0333,proponent_site,,,spatial_join,WV,high,Elaine,WV,6.13,,False,
Mt Gellibrand Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mt Mercer BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Mt Mercer Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Murra Warra Solar Farm,VIC1,-36.49,142.19,proponent_site,,,spatial_join,WV,medium,Horsham,WV,26.33,,False,
Murra Warra Wind Farm - stage 1,VIC1,-36.4269561,142.3155287,OSM_plant,,,spatial_join,WV,medium,Horsham,WV,33.4,,False,
Murra Warra Wind Farm - stage 2,VIC1,-36.4269561,142.3155287,OSM_plant,,,spatial_join,WV,medium,Horsham,WV,33.4,,False,
Murray 1,VIC1,-36.2468296,148.1902002,OSM_plant,,,spatial_join,MR,high,Murray River,MR,4.75,,False,
Murray 2,VIC1,-36.242469,148.1363948,OSM_plant,,,spatial_join,MR,high,Murray River,MR,2.0,,False,
Muskerry Solar Power Station - KCI,VIC1,-36.7,144.7,proponent_site,,,spatial_join,CN-VIC,high,Fosterville,CN-VIC,17.41,,False,
Naring Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Naroghid,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Navarre Wind Farm,VIC1,-36.8996,143.1139,locality_proxy,,,spatial_join,WV,medium,Bulgana,WV,19.09,,False,
Newhaven College,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Newport,VIC1,-37.8413958,144.8950298,OSM_plant,,,spatial_join,SW-VIC,high,Newport,SW-VIC,0.2,,False,
Newport BESS - KCI,VIC1,-37.8418,144.895,locality_proxy,,,spatial_join,SW-VIC,medium,Newport,SW-VIC,0.24,,False,
Newport Battery Energy Storage System,VIC1,-37.8418,144.895,locality_proxy,,,spatial_join,SW-VIC,medium,Newport,SW-VIC,0.24,,False,
Nhill Wind Farm,VIC1,-36.3425807,141.4347013,OSM_plant,,,spatial_join,WV,review,Horsham,WV,83.98,,False,
Normanville Energy Park - Wind (KCI),VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
North Yarragon BESS - KCI,VIC1,-38.13,146.06,proponent_site,,,spatial_join,GIP,medium,Yallourn,GIP,25.83,,False,
Nowingi Solar Farm - Edify (KCI),VIC1,-34.6,142.23,locality_proxy,,,spatial_join,MR,medium,Hattah,MR,18.36,,False,
Nowingi Solar Storage - Solar,VIC1,-34.5963,142.2252,proponent_site,,,spatial_join,MR,high,Hattah,MR,18.87,,False,
Nowingi Solar Storage - Storage,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Numurkah Solar Farm,VIC1,-36.1599165,145.4770342,OSM_plant,,,spatial_join,CN-VIC,high,Numurkah,CN-VIC,10.33,,False,
Nyaninyuk Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Oaklands Hill Wind Farm,VIC1,-37.6761505,142.5581493,OSM_plant,,,spatial_join,WV,high,Oaklands Hill,WV,0.78,,False,
Orsted Gippsland A&B Windfarm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Orsted Gippsland C Windfarm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ouyen Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Pacific Green Energy Park Portland West,VIC1,-38.3857,141.6247,proponent_site,,,spatial_join,SW-VIC,high,Portland,SW-VIC,0.14,,False,
Pacific Green Energy Park – Portland,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Penshurst,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Perry Bridge Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Philip Island BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Philip Island Community Energy Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Pine Lodge 2 BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Pine Lodge BESS,VIC1,-36.38,145.53,proponent_site,,,spatial_join,CN-VIC,high,Shepparton,CN-VIC,11.15,,False,
Port Phillip Heads Tidal Energy Project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Portland BESS,VIC1,-38.3857,141.6247,proponent_site,,,spatial_join,SW-VIC,high,Portland,SW-VIC,0.14,,False,
Portland Renewables Project - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Portland Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Portland Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Prairie Solar Farm,VIC1,-36.2101,144.2293,proponent_site,,,spatial_join,MR,medium,Cohuna,MR,36.7,,False,
Puzzle Range BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Puzzle Range Wind Farm,VIC1,-36.9768,145.7108,locality_proxy,,,spatial_join,CN-VIC,medium,Mansfield,CN-VIC,33.04,,False,
Qenos Cogeneration Facility,VIC1,,,,,,spatial_join_excluded,Unclassified,excluded,,,,Cogeneration,False,
Quandong Solar Farm,VIC1,-37.8356,144.5083,locality_proxy,,,spatial_join,SW-VIC,medium,Yaloak South,SW-VIC,26.38,,False,
REWASTE WOLLERT,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Rangebank BESS,VIC1,-38.0851742,145.2599864,OSM_plant,,,spatial_join,CN-VIC,medium,Springvale,CN-VIC,20.11,,False,
Ravenswood BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ravenswood Solar Farm - FRV,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Red Cliffs Solar & BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Redcliffs Solar & BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Redcliffs Solar & BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Rifle Butts Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Riverside BESS - Storage - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Rubicon BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Rubicon Mountain Streams,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Rubicon Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ryan Corner Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
SALE HOSPITAL - SOLAR,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
SCS Shepparton,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
SEC Renewable Energy Hub,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Salt Creek Wind Farm,VIC1,-37.917,142.782,manual,prior,SW-VIC,spatial_join,SW-VIC,high,Salt Creek,SW-VIC,1.7,,False,
Seadragon offshore wind project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Seadragon project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Seaspray Off Shore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Seymour Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Seymour Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Shamic Sheetmetal,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Shepparton,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Shepparton Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Shepparton Wastewater Treatment Facility,VIC1,,,,,,spatial_join_excluded,Unclassified,excluded,,,,Wastewater,False,
Somerton,VIC1,-37.6316151,144.9528442,OSM_plant,,,spatial_join,CN-VIC,high,Doreen,CN-VIC,16.14,,False,
South Morang Battery Energy Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Southern Ocean,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Southern Winds Offshore Wind,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Spinifex Offshore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Springvale,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Springvale Energy Hub,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Springvale Energy Hub - BESS,VIC1,-37.971,145.1488,locality_proxy,,,spatial_join,CN-VIC,medium,Springvale,CN-VIC,4.77,,False,
Stanhope BESS Project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Stanhope BESS Project 01,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Stanhope BESS Project 02,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Stanhope Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Star of The South,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Star of the South Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Stockyard Hill Wind Farm,VIC1,-37.5498108,143.337861,OSM_plant,,,spatial_join,WV,medium,Challicum,WV,26.6,,False,
Stonehaven Gas Turbines,VIC1,-38.123,144.225,locality_proxy,,,spatial_join,SW-VIC,medium,Geelong,SW-VIC,10.88,,False,
Stonehaven Gas Turbines - KCI,VIC1,-38.123,144.225,locality_proxy,,,spatial_join,SW-VIC,medium,Geelong,SW-VIC,10.88,,False,
Swan Hill Solar Farm 1 Unit 1,VIC1,-35.3424715,143.5178218,OSM_plant,,,spatial_join,MR,high,Swan Hill,MR,0.54,,False,
Swan Hill Solar Farm 2 Unit 1,VIC1,-35.3424715,143.5178218,OSM_plant,,,spatial_join,MR,high,Swan Hill,MR,0.54,,False,
Symex,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tarong BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tarrone BESS - Storage - KCI,VIC1,-38.17917,142.18107,osm_substation,,,spatial_join,SW-VIC,high,Tarrone,SW-VIC,0.03,,False,
Tarrone GT,VIC1,-38.1789,142.1806,osm_substation,,,spatial_join,SW-VIC,high,Tarrone,SW-VIC,0.02,,False,
Tarrone Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tatura Biomass Generator,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tatura East Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Terang BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Terang Battery Energy Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Terang Battery Energy Storage System (Tilt Renewables),VIC1,-38.24,142.92,proponent_site,,,spatial_join,SW-VIC,high,Terang,SW-VIC,1.32,,False,
Terang Terminal Station,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Thomastown BESS,VIC1,-37.685,145.009,proponent_site,,,spatial_join,CN-VIC,high,Campbells Forest,CN-VIC,12.75,,False,
Thomastown Terminal Station,VIC1,-37.6921,145.00971,osm_substation,,,spatial_join,CN-VIC,high,Campbells Forest,CN-VIC,11.98,,False,
Thomastown Terminal Station - KCI,VIC1,-37.6921,145.00971,osm_substation,,,spatial_join,CN-VIC,high,Campbells Forest,CN-VIC,11.98,,False,
Timboon West Wind Farm,VIC1,-38.5326674,142.9152245,OSM_plant,,,spatial_join,SW-VIC,medium,Cobden,SW-VIC,24.4,,False,
Todae Solar - Nillumbik,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Todae Solar SV - Eltham,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Todae Solar – La Trobe University Bendigo,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Todae Solar – La Trobe University Wodonga,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Toolern Vale BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Toolern Vale Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Toolern Vale Solar Farm_SS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Toora,VIC1,-38.6449923,146.3428464,OSM_plant,,,spatial_join,GIP,medium,Bald Hills,GIP,36.0,,False,
Tramway BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tramway Road BESS,VIC1,-38.2812,146.4283,proponent_site,,,spatial_join,GIP,high,Hazelwood,GIP,0.02,,False,
Traralgon Network Support Station,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tulkara Wind Farm,VIC1,-36.94203,143.05201,locality_proxy,,,spatial_join,WV,medium,Bulgana,WV,12.12,,False,
Tulkara Wind Farm - KCI,VIC1,-36.94203,143.05201,locality_proxy,,,spatial_join,WV,medium,Bulgana,WV,12.12,,False,
Tyabb Terminal Station,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne Archives Brunswick,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne McCoy Carlton,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne Performing Arts Centre Southbank,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne Peter Hall Parkville,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne Sports Centre Parkville,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
University of Melbourne The Spot Carlton,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Valley Power,VIC1,-38.2537102,146.5889084,OSM_plant,,,spatial_join,GIP,high,Loy Yang B,GIP,1.55,,False,
Vawdrey Manufacturing,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Victorian Big Battery,VIC1,-38.04,144.29,wikipedia,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.65,,False,
Victorian Big Battery 2,VIC1,-38.04,144.29,wikipedia,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.65,,False,
Victorian Big Battery 2 - Storage - KCI,VIC1,-38.04,144.29,wikipedia,,,spatial_join,SW-VIC,high,Moorabool,SW-VIC,0.65,,False,
Wangaratta Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wantirna Mini Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Warracknabeal Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Warrenheip BESS,VIC1,-37.565,143.93,proponent_site,,,spatial_join,WV,high,Ballarat,WV,0.83,,False,
Watta Wella Power Station,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Watta Wella Wind Farm - KCI,VIC1,-36.96,142.89,state_portal,,,spatial_join,WV,high,Bulgana,WV,12.02,,False,
Waubra,VIC1,-37.348915,143.6039866,OSM_plant,,,spatial_join,WV,high,Waubra,WV,0.78,,False,
Waubra BESS - KCI,VIC1,-37.3614,143.6026,proponent_site,,,spatial_join,WV,high,Waubra,WV,0.7,,False,
Waubra North Wind Farm,VIC1,-37.33,143.63,locality_proxy,,,spatial_join,WV,medium,Waubra,WV,3.56,,False,
Waubra North Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wemen Solar Farm,VIC1,-34.797409,142.5468508,OSM_plant,,,spatial_join,MR,high,Wemen,MR,2.33,,False,
Wemen TS Syncon,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
West Kiewa,VIC1,-36.7600101,147.185743,OSM_plant,,,spatial_join,CN-VIC,high,West Kiewa,CN-VIC,0.01,,False,
West Mokoan BESS,VIC1,-36.4589,145.9951,proponent_site,,,spatial_join,CN-VIC,high,Goorambat,CN-VIC,7.19,,False,
West Mokoan Solar Farm,VIC1,-36.48881,146.1241642,OSM_plant,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,0.9,,False,
Willatook,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
William Hovel,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Willowvale Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wimmera Plains BESs,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wimmera Plains Wind Farm,VIC1,-36.5522,142.3024,wikipedia,,,spatial_join,WV,high,Horsham,WV,19.55,,False,
Wimmera Plains Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Winchelsea Gas Turbines,VIC1,-38.2438,143.9933,locality_proxy,,,spatial_join,SW-VIC,medium,Winchelsea,SW-VIC,1.19,,False,
Winchelsea Gas Turbines - KCI,VIC1,-38.2438,143.9933,locality_proxy,,,spatial_join,SW-VIC,medium,Winchelsea,SW-VIC,1.19,,False,
Winton BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Winton BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Winton Energy Reserve 1,VIC1,-36.56,146.18,proponent_site,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,8.53,,False,
Winton North Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
