region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
TAS1,Granville Harbour Wind Farm,TAS-NW,high,(TAS region),TAS-NW,review,Hampshire Hills,80.18,Y,,,111.6
TAS1,Great Lakes BESS,TAS-NW,high,(TAS region),TAS-NW,high,Palmerston,0.01,Y,,,
TAS1,John Butters,TAS-NW,high,(TAS region),TAS-NW,review,Butlers Gorge,61.15,Y,,,144.0
TAS1,Lake Echo,TAS-NW,high,(TAS region),TAS-NW,high,Tungatinah,14.31,Y,,,32.4
TAS1,Lake Margaret,TAS-NW,high,(TAS region),TAS-NW,review,Butlers Gorge,65.99,Y,,,
TAS1,Lower Lake Margaret,TAS-NW,high,(TAS region),TAS-NW,review,Butlers Gorge,66.78,Y,,,
TAS1,Mackintosh,TAS-NW,high,(TAS region),TAS-NW,medium,Cethana,47.51,Y,,,79.9
TAS1,Meadowbank,TAS-NW,high,(TAS region),TAS-NW,high,Cluny,17.94,Y,,,40.0
TAS1,Musselroe Wind Farm,TAS-NW,high,(TAS region),Unclassified,Unclassified,Tasmania,102.42,N,excluded_method_2,medium,168.0
TAS1,Palmerston Big Battery,TAS-NW,high,(TAS region),TAS-NW,high,Palmerston,0.01,Y,,,
TAS1,Palmerston Big Battery - KCI,TAS-NW,high,(TAS region),TAS-NW,high,Palmerston,0.01,Y,,,
TAS1,Paloona,TAS-NW,high,(TAS region),TAS-NW,high,Sheffield,7.63,Y,,,28.0
TAS1,Poatina,TAS-NW,high,(TAS region),TAS-NW,high,Palmerston,6.49,Y,,,200.0
TAS1,Reece,TAS-NW,high,(TAS region),TAS-NW,review,Hampshire Hills,70.53,Y,,,115.6
TAS1,Repulse,TAS-NW,high,(TAS region),TAS-NW,high,Cluny,2.68,Y,,,28.0
TAS1,Robbins Island Wind Farm,TAS-NW,high,(TAS region),TAS-NW,medium,Smithton,24.4,Y,,,929.0
TAS1,Rowallan,TAS-NW,high,(TAS region),TAS-NW,medium,Cethana,28.73,Y,,,10.5
TAS1,Tarraleah,TAS-NW,high,(TAS region),TAS-NW,high,Tarraleah,0.1,Y,,,90.0
TAS1,Trevallyn,TAS-NW,high,(TAS region),TAS-NW,high,Trevallyn,0.1,Y,,,53.0
TAS1,Tribute,TAS-NW,high,(TAS region),TAS-NW,review,Cethana,55.03,Y,,,82.8
TAS1,Tungatinah,TAS-NW,high,(TAS region),TAS-NW,high,Tungatinah,0.13,Y,,,125.0
VIC1,Ararat SynCon,WV,high,Ararat,WV,high,Ararat,0.0,Y,,,
VIC1,Ararat Wind Farm,WV,high,Ararat,WV,high,Crowlands,13.91,Y,,,240.0
VIC1,Bairnsdale,GIP,medium,Bairnsdale,GIP,high,Bairnsdale,0.22,Y,,,47.0
VIC1,Bald Hills Wind Farm,GIP,medium,Bald Hills,GIP,high,Bald Hills,2.94,Y,,,106.6
VIC1,Ballarat,WV,medium,Ballarat,WV,high,Ballarat,0.11,Y,,,
VIC1,Ballarat Energy Storage System,WV,medium,Ballarat,WV,high,Ballarat,0.11,Y,,,30.0
VIC1,Banimboola,CN-VIC,medium,Banimboola,CN-VIC,high,Dartmouth,6.02,Y,,,10.0
VIC1,Bannerton Solar Park,MR,medium,Bannerton,MR,high,Robinvale,7.31,Y,,,100.0
VIC1,Birdwood Energy Reserve,Unclassified,review,,CN-VIC,high,Wodonga,0.02,N,excluded_method_1,medium,
VIC1,Birdwood Energy Reserve - KCI,Unclassified,review,,CN-VIC,high,Wodonga,0.02,N,excluded_method_1,medium,
VIC1,Bookaar Solar Farm,WV,medium,Bookaar,SW-VIC,medium,Camperdown,12.84,N,boundary_swap,low,230.0
VIC1,Bridgewater,Unclassified,review,,SW-VIC,high,Cape Bridgewater,1.25,N,excluded_method_1,medium,
VIC1,Brooklyn,Unclassified,review,,SW-VIC,high,Newport,6.02,N,excluded_method_1,medium,
VIC1,Bulgana Green Power Hub - BESS,WV,medium,Bulgana,WV,high,Bulgana,0.18,Y,,,20.0
VIC1,Bulgana Green Power Hub - Wind Farm,WV,medium,Bulgana,WV,high,Bulgana,9.03,Y,,,204.4
VIC1,Campbells Forest Solar Farm,CN-VIC,medium,Campbells Forest,CN-VIC,medium,Bendigo,24.54,Y,,,205.0
VIC1,Challicum Hills,WV,medium,Challicum Hills,WV,high,Challicum,1.01,Y,,,52.5
VIC1,Chepstowe Wind Farm - VIC,WV,medium,Chepstowe,WV,medium,Waubra,28.46,Y,,,6.15
VIC1,Cherry Tree Wind Farm,CN-VIC,medium,Cherry Tree,CN-VIC,high,Seymour,12.3,Y,,,57.6
VIC1,Clover,CN-VIC,medium,Clover,CN-VIC,high,Clover,0.11,Y,,,29.0
VIC1,Codrington Wind Farm,SW-VIC,medium,Codrington,SW-VIC,high,Codrington,1.8,Y,,,18.2
VIC1,Cohuna Solar Farm,MR,medium,Cohuna,MR,high,Cohuna,0.75,Y,,,31.16
VIC1,Connewarren BESS - KCI,SW-VIC,medium,Connewarren,SW-VIC,high,Mortlake,11.27,Y,,,
VIC1,Cooba Solar Farm,WV,medium,Cooba,CN-VIC,medium,Fosterville,21.54,N,boundary_swap,low,
VIC1,Coonooer Bridge Wind Farm,WV,medium,Coonooer Bridge,WV,review,Bulgana,76.01,Y,,,19.8
VIC1,Corop BESS,CN-VIC,medium,Corop,CN-VIC,medium,Stanhope,14.42,Y,,,400.0
VIC1,Corop Solar Farm,CN-VIC,medium,Corop,CN-VIC,medium,Stanhope,14.42,Y,,,400.0
VIC1,Cranbourne BESS (Maoneng),Unclassified,review,,SW-VIC,high,Mornington,9.13,N,excluded_method_1,medium,
VIC1,Crowlands Wind Farm,WV,high,Crowlands,WV,high,Crowlands,0.9,Y,,,79.95
VIC1,Dalvui BESS,SW-VIC,medium,Dalvui,SW-VIC,high,Terang,0.0,Y,,,250.0
VIC1,Dartmouth,CN-VIC,medium,Dartmouth,CN-VIC,high,Dartmouth,0.04,Y,,,185.0
VIC1,Dederang BESS,CN-VIC,medium,Dederang,CN-VIC,high,Dederang,3.91,Y,,,200.0
VIC1,Dederang BESS (Trina),CN-VIC,medium,Dederang,CN-VIC,high,Dederang,0.0,Y,,,
VIC1,Dederang BESS - KCI,CN-VIC,medium,Dederang,CN-VIC,medium,Dederang,3.91,Y,,,
VIC1,Dederang Big BESS - KCI,CN-VIC,medium,Dederang,CN-VIC,high,Dederang,0.0,Y,,,
VIC1,Dundonnell Wind Farm,SW-VIC,high,Dundonnell,SW-VIC,high,Salt Creek,18.97,Y,,,168.0
VIC1,Eildon,CN-VIC,medium,Eildon,CN-VIC,high,Eildon,2.97,Y,,,60.0
VIC1,Eildon Pondage Power Station (EPPS),CN-VIC,medium,Eildon,CN-VIC,high,Eildon,2.97,Y,,,4.5
VIC1,Elaine Battery Energy Storage System,WV,medium,Elaine,WV,high,Elaine,4.01,Y,,,
VIC1,Elaine Wind Farm,WV,medium,Elaine,WV,high,Elaine,3.2,Y,,,83.6
VIC1,Ferguson Wind Farm,WV,medium,Ferguson,SW-VIC,medium,Cobden,31.82,N,boundary_swap,low,12.0
